Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )
145827;NIPPON INDIA OVERNIGHT FUND - MONTHLY IDCW Option;Regular Plan;MONTHLY IDCW Option;INF204KB1Q99;INF204KB1R07;100.2695;06-Sep-2026
145833;NIPPON INDIA OVERNIGHT FUND - QUARTERLY IDCW Option;Regular Plan;QUARTERLY IDCW Option;INF204KB1R15;INF204KB1R23;101.3770;06-Sep-2026
145811;Nippon India Overnight Fund - Regular Plan - Growth Option;Regular Plan;Growth Option;INF204KB1Q65;;146.8963;06-Sep-2026
145826;NIPPON INDIA OVERNIGHT FUND - WEEKLY IDCW Option;Regular Plan;WEEKLY IDCW Option;;INF204KB1Q81;100.0292;06-Sep-2026

PGIM India Mutual Fund
147605;PGIM India Overnight Fund - Direct Plan - Daily Dividend Option;Direct Plan;Direct IDCW;;INF663L01T35;1000.0087;06-Sep-2026
147606;PGIM India Overnight Fund - Direct Plan - Growth Option;Direct Plan;Direct Growth;INF663L01T01;;1418.9876;06-Sep-2026
147608;PGIM India Overnight Fund - Direct Plan - Weekly Dividend Option;Direct Plan;Direct IDCW;INF663L01T19;INF663L01T27;1000.5489;06-Sep-2026
147609;PGIM India Overnight Fund - Regular Plan - Daily Dividend Option;Regular Plan;Regular IDCW;;INF663L01T76;1000;06-Sep-2026
147607;PGIM India Overnight Fund - Regular Plan - Weekly Dividend Option;Regular Plan;Regular IDCW;INF663L01T50;INF663L01T68;1006.9698;06-Sep-2026
147600;PGIM India Overnight Fund - Regular Plan- Growth Option;Regular Plan;Regular Growth;INF663L01T43;;1412.5683;06-Sep-2026

quant Mutual Fund
151190;quant Overnight Fund - Growth Option - Direct Plan;Direct Plan;Growth Option;INF966L01AZ7;;12.5755;06-Sep-2026
151195;quant Overnight Fund - Growth Option - Regular Plan;Regular Plan;Growth Option;INF966L01BC4;;12.5284;06-Sep-2026
151193;quant Overnight Fund - IDCW Option - Direct Plan;Direct Plan;IDCW Option;INF966L01BA8;INF966L01BB6;12.5806;06-Sep-2026
151191;quant Overnight Fund - IDCW Option - Regular Plan;Regular Plan;IDCW Option;INF966L01BD2;INF966L01BE0;12.5169;06-Sep-2026
154083;quant Overnight Fund - Unclaimed IDCW Greater than 3 years;Direct Plan;Unclaimed IDCW Greater than 3 years;;;10;06-Sep-2026
154086;quant Overnight Fund - Unclaimed IDCW Less than 3 years;Direct Plan;Unclaimed IDCW Less than 3 years;;;10.3621;06-Sep-2026
154085;quant Overnight Fund - Unclaimed Redemption Greater than 3 years;Direct Plan;Unclaimed Redemption Greater than 3 years;;;10;06-Sep-2026
154084;quant Overnight Fund - Unclaimed Redemption Less than 3 years;Direct Plan;Unclaimed Redemption Less than 3 years;;;10.3577;06-Sep-2026

Samco Mutual Fund
150631;Samco Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth;INF0K1H01040;;1256.1948;06-Sep-2026
150632;Samco Overnight Fund - Regular Plan - Growth Option;Regular Plan;Growth;INF0K1H01032;;1245.7756;06-Sep-2026
153021;Samco Overnight Fund - Unclaimed Redemption Upto 3 years;;;;;1098.9638;06-Sep-2026

SBI Mutual Fund
119831;SBI Overnight Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW);Direct Plan;IDCW;;INF200K01TJ7;1389.5947;06-Sep-2026
119833;SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH;Direct Plan;Growth;INF200K01TK5;;4476.9570;06-Sep-2026
119832;SBI Overnight Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW);Direct Plan;IDCW;INF200K01TL3;INF200K01TM1;1418.9726;06-Sep-2026
114297;SBI Overnight Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW);Regular Plan;IDCW;;INF200K01LN6;1383.0669;06-Sep-2026
101206;SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH;Regular Plan;Growth;INF200K01LQ9;;4415.9505;06-Sep-2026
